new_input_case,rationale,input,project_name,project_target_date,project_status,summary_key_points,summary
1. Project name mentioned clearly,"To align with the requirement of mentioning the project name clearly, the new standup transcript will explicitly refer to the project by name early in the conversation. The dialogue will be casual, including ums and slight hesitations to reflect natural speech. There will be multiple participants—at least three engineers—with around 8 back-and-forth exchanges to meet input complexity. The transcript will discuss progress, blockers, and timeline concerns, enabling a clear summary and status determination.","[info] Standup time: 10/10/2024 09:00:00

Alicia: Morning all, let’s kick off with the Phoenix app updates. Anyone got blockers?
Ethan: Uh yeah, Alicia, the API integration is mostly done, but the payment gateway team hasn't pushed the updated schema yet, so I'm kinda stuck on testing.
Mina: Same here, I’m waiting on Ethan’s completion to start QA on the checkout flow.
Alicia: Got it. So we're dependent on the backend team still. Any idea when they’ll be done?
Ethan: They said maybe Wednesday, so that might push us a bit.
Mina: Yeah, if that’s the case, our release target for 10/15 might be tight.
Alicia: Okay, sounds like Phoenix is at risk for hitting the 10/15 deadline. Let’s see what we can do to unblock each other.
Ethan: I’ll follow up with the backend guys after this.
Mina: Thanks! I’ll prep test cases in the meantime.
Alicia: Perfect, let’s keep the momentum.",Phoenix,10/15/2024,At Risk,"- API integration mostly done but blocked by payment gateway schema delay
- QA waiting on API completion to start checkout testing
- Backend schema expected by Wednesday, potentially delaying release
- Release target 10/15 is at risk due to dependencies
- Team coordinating on unblocking actions","The Phoenix project is currently at risk of missing its 10/15 release date because the payment gateway team has not yet provided the updated schema needed to complete API integration. QA testing is on hold until those APIs are finalized. The backend team expects to deliver the schema by Wednesday, which may cause delays. The team is coordinating efforts to unblock blockers and move forward."
1. Project name mentioned clearly,"To match the example style, the transcript will feature casual, somewhat informal dialogue between three software engineers discussing updates on the 'Apollo' project. The transcript will clearly mention the project name multiple times and include a target date. It will have at least 8 exchanges, with some hesitations and filler words like 'um' and 'ah'. The conversation will reveal the current status as at risk or on track, with blockers and progress updates clearly called out.","[info] Standup time: 02/15/2024 09:05:00

Liam: Hey team, let's get started. So, on the Apollo project, where are we on the UI overhaul?
Emma: Um, UI stuff is mostly complete, just tying up some loose ends. The new navigation is feeling smooth now.
Noah: Backend has some blockers, um, especially with the API integration. I’m waiting on the auth module to be merged.
Liam: Got it. Any estimate on when we might have a full build ready for QA on Apollo?
Emma: If those backend blockers clear by next week, we should be good for a 02/28 release.
Noah: Yeah, I’m pushing hard to get that auth merged by tomorrow, but there’s some edge cases to review.
Liam: Okay, so Apollo is looking like we’re on track if those issues get resolved quickly. Let’s keep the momentum.
Emma: Definitely, I’ll sync with QA and prep test cases for the new features.
Noah: Also, just a heads-up, the Apollo analytics module is behind schedule, might impact next sprint.
Liam: Thanks for flagging that. Let’s keep an eye on it.",Apollo,02/28/2024,On Track,"- UI overhaul mostly complete
- Backend API integration blocked by auth module
- Target build for QA on 02/28 if blockers resolve
- Analytics module behind schedule
- Team confident on release if blockers clear","The Apollo project is progressing well with the UI overhaul nearly complete and a 02/28 target date for QA readiness. Backend work is currently blocked by the pending auth module merge, but the team is optimistic about resolving these soon. Some concern remains about the analytics module falling behind, which could affect upcoming sprints. Overall, the project is on track if blockers clear as planned."
1. Project name mentioned clearly,"The example input clearly mentions the project name 'onboarding project' and discusses a target date and current status, which are important for evaluation. To create a similar test case, the conversation should explicitly name the project to satisfy the new input case, and include casual language with multiple participants discussing progress, blockers, and timelines, to enable accurate extraction of project name, target date, status, and summary.","[info] Standup time: 11/05/2024 09:15:00

Maya: Morning all! Let’s kick off with the updates on the payment gateway integration.
Javier: Hey, morning! I finished most of the API work, but um, the third-party service is a bit unreliable right now.
Sophia: Yeah, the service downtime is affecting testing, so our integration timeline might slip.
Maya: What’s the current target for launching the payment gateway project?
Javier: Target was November 15, but with these issues, it might be pushed to the 20th.
Sophia: We’re trying to mitigate by adding retries and fallback mechanisms, but it’s still a bit shaky.
Maya: Okay, noted. Let's keep pushing to minimize delays on the payment gateway rollout.
Javier: Will keep everyone updated as we make progress.",payment gateway integration,11/15/2024,At Risk,"- Payment gateway integration project is currently delayed due to third-party service unreliability
- Original target date was November 15, now likely pushed to November 20
- Team is implementing retries and fallback mechanisms to handle service downtime
- Efforts are ongoing to minimize delays","The payment gateway integration project is experiencing delays because the third-party service is unreliable, affecting testing and timeline. The original target date of November 15 might shift to November 20. The team is working on retries and fallback solutions to mitigate the issues and minimize the delay."
2. Project info mentioned alongside numerous tasks and complex date and status revisions,"Compose a casual, realistic software engineering standup transcript with at least 8 exchanges among 3+ participants. Include multiple project mentions with detailed task updates and shifting dates/statuses to increase complexity, reflecting the challenge stated in the new input case. The tone should be informal, include filler words like 'um', and cover complex schedule changes.","[info] Standup time: 11/15/2024 09:00:00

Emily: Morning team! Let's start with the App Revamp project. The UI redesign PRs are mostly merged, but the integration with the auth service is only halfway done.

Ravi: Yeah, um, for the integration bit, I'm blocked waiting on the updated API docs from backend. That should come by end of day today.

Sara: On the QA side, we found some regressions in the login flow after yesterday’s deploy. Need a fix before we can proceed.

Emily: Got it. So, realistically, are we still aiming for the November 30th release on this one?

Ravi: Honestly, with these blockers, it's looking at least a week delayed, maybe December 7th now.

Sara: For the Mobile Sync project, we've started testing the new sync algorithm. Initial results are promising but there are intermittent failures on network drops.

Emily: Any estimates on when we can stabilize that to stay on track for the December 15 target?

Sara: If the fixes go smoothly, I’d say December 14th, but it’s a close call.

Ravi: Also, the backend migration is impacting both projects. The DB migration is slated for next week, November 20th, which might cause downtime that affects testing.

Emily: Mm, we should probably update the status then. Looks like App Revamp is At Risk for November 30, Mobile Sync is On Track but borderline, and backend migration is scheduled but requires careful coordination.",App Revamp,11/30/2024,At Risk,"- UI redesign PRs mostly merged
- Auth service integration blocked by missing API docs
- Login flow regressions need fixing
- Release date likely delayed by a week
- Mobile Sync testing ongoing with intermittent failures
- Backend DB migration scheduled impacting testing
- Coordination needed to avoid downtime","The App Revamp project is facing delays due to incomplete auth service integration and regressions in the login flow, pushing the November 30 release to possibly December 7. Mobile Sync is progressing with testing but network issues pose risks to the December 15 target. Backend DB migration scheduled for November 20 could impact both projects, requiring careful coordination to minimize downtime."
2. Project info mentioned alongside numerous tasks and complex date and status revisions,"The test case should contain a standup with multiple team members discussing detailed project tasks, updates on features, and shifting target dates with changes to the project timeline. The transcript should be casual and reflect spoken communication with hesitation and informal language. There should be references to the specific project, its current status, and revisions to delivery dates to match the complexity requested.","[info] Standup time: 03/15/2024 09:10:00

Maya: Morning team, so for the Apollo project, let's do quick status updates. I'm wrapping up backend API integration today, but hit a snag with the data syncing.

Raj: Yeah, that data syncing issue is tricky. I started on the frontend dashboard, but um, will need till Friday for initial layout, was expecting sooner.

Lina: On the QA side, we are running automated tests, but, uh, noticed some flaky tests on the login flow that might delay certification.

Maya: Okay, and the target dates? Last week we aimed for 03/20 for the first release candidate.

Raj: Yeah, with these blockers, I'm thinking 03/27 is more realistic.

Lina: Agreed, maybe push it back a week to get a cleaner build.

Maya: Alright, so Apollo project release candidate is at risk for 03/27. Team, let's focus on clearing blockers this week.

Raj: Also, FYI, I have a dependency on the user profile API from the backend, hoping that lands by end of day tomorrow.

Maya: Got it, thanks Raj. Everyone, please ping if you hit any blocks to avoid surprises.

Lina: Will do! Thanks Maya.",Apollo,03/27/2024,At Risk,"- Backend API integration nearly complete but data syncing issues remain
- Frontend dashboard initially delayed, expected completion by Friday
- QA encountering flaky tests delaying certification
- Original release candidate date was 03/20, now pushed to 03/27
- User profile API dependency expected tomorrow
- Project at risk due to current blockers and delays","The Apollo project team discussed progress during the standup. Backend API integration is almost done, though data syncing issues persist. Frontend work and QA testing have experienced delays, causing the original release candidate date of March 20 to be postponed to March 27. Dependencies on other APIs are pending, and the overall status is at risk. The team aims to focus on resolving blockers this week to meet the revised timeline."
2. Project info mentioned alongside numerous tasks and complex date and status revisions,"The new test case should include multiple engineers discussing various ongoing tasks, with complex and shifting deadlines and status updates. The transcript will feature casual conversational style with ums and hesitations, reflecting uncertainty about dates and progress. This complexity will highlight the model’s ability to tease out the correct updated project status, dates, and critical points, matching the detailed nature of the new_input_case prompt.","[info] Standup time: 03/15/2024 09:00:00

Eli: Morning folks! Let's kick off. So, the Nova project, um, we have a couple updates. The UI revamp should be finished by March 22, but the backend APIs are still unstable.

Maya: Yeah, the APIs are buggy. Also blocked on the data migration scripts. We thought migration would wrap up by March 20, but that's slipped.

Raj: Right, migration’s a bit delayed. Current ETA is March 27. PRs are still pending for those scripts.

Eli: Okay, so Nova target date was March 25th originally—looks like it's going to slip. Should we push it back?

Maya: Probably best to target the 29th now, to be safe.

Raj: Also, the security audit for Nova is scheduled next week, which might affect delivery.

Eli: Got it. How about the Falcon project?

Maya: Falcon is on track, UI is done, just integration testing left.

Raj: Yep, Falcon launch is still aiming for March 18.

Eli: Great, so Falcon's looking solid, but Nova's a bit shaky. Let's keep an eye on those API fixes.

Maya: Cool, will set up daily syncs for the APIs.

Raj: And I'll chase the PR reviews.

Eli: Perfect. Thanks, everyone!",Nova,03/29/2024,At Risk,"- Nova UI revamp due March 22 but backend APIs unstable
- Data migration delayed from March 20 to March 27
- Overall Nova delivery pushed from March 25 to March 29
- Security audit next week may impact delivery
- Falcon project on track for March 18 launch
- Daily API syncs and PR reviews planned","The Nova project is facing delays with backend APIs and data migration, causing the delivery date to be pushed back to March 29. A security audit scheduled next week may further impact the timeline. Meanwhile, the Falcon project remains on track for its March 18 launch. The team plans to hold daily syncs to address API issues and expedite PR reviews."
3. (Negative) project name not mentioned at all,"To simulate a difficult case where the transcript does not explicitly mention the project name while still maintaining enough context on progress, blockers, and timelines from multiple speakers. The transcription will be casual, with at least 8 exchanges and 3 speakers, including typical filler words and speech patterns, but no explicit project name is stated. This tests the model's ability to handle missing explicit project identification.","[info] Standup time: 10/10/2024 09:00:00

Alex: Hey folks, let's get started. So yesterday I wrapped up integration on the API part, should be ready for testing today.
Sam: Nice, um, the UI changes are mostly done. Just waiting on some feedback from design, but no major blockers.
Jamie: I’m still working on the data migration scripts, trying to handle some edge cases with user data.
Alex: Cool cool. Timeline-wise, are we still good for targeting the end of this week?
Sam: Um, I think so, but the backend merge is a little delayed, so it might push things by a day or two.
Jamie: Yeah, probably at risk for the weekend target, but we’ll try to catch up.
Alex: Ok, good to know. Let’s keep pushing. Does anyone need help clearing blockers?
Sam: No blockers for me, thanks.
Jamie: All good here too, just time pressure.
",Not Found,10/12/2024,At Risk,"- API integration completed and ready for testing
- UI changes mostly done, waiting on design feedback
- Data migration scripts ongoing with some edge cases
- Backend merge delay could push timeline
- Target deadline end of week at risk
- No major blockers, just time pressure","The team has completed API integration and is awaiting design feedback on UI changes. Data migration scripts are still in progress with some challenges. The backend merge delay may push the originally planned end-of-week deadline, putting the project at risk, although no significant blockers were reported."
3. (Negative) project name not mentioned at all,"The goal is to create a standup transcript with multiple speakers having at least 8 back-and-forth exchanges, reflecting the casual, somewhat disfluent speech of engineers with ums and hesitations, but without any mention of a project name. This will test whether an LLM can still extract relevant details like target dates and status when the project name is missing.","[info] Standup time: 04/15/2024 09:00:00

Alex: Morning folks! Let's start with who’s got updates. I’m still waiting on the latest API docs, um, so I can finish integration.
Jin: Yeah, same here, the frontend’s kinda blocked waiting on those APIs, maybe until tomorrow.
Morgan: The database migration script is done, but... um, there’s an issue with the permissions that I’m sorting out now.
Alex: Got it, seems like a few blockers. Any idea when those API docs will be ready?
Jin: Honestly, I’m not sure, the backend team's fixing a few bugs, might be today or tomorrow.
Morgan: We might miss the deadline if the blockers don't clear up soon.
Alex: What’s the deadline again? I can't remember if it’s this week or next.
Jin: I think it’s the 20th, right? So only a few days left.
Morgan: Yeah, that sounds right. We should push for a review by Thursday.
Alex: Okay, let's sync up after this and see what can be accelerated.
Jin: Sounds good, I’ll message the backend team now.
Morgan: Thanks, everyone, let’s catch up later with updates.",Not Found,04/20/2024,At Risk,"- API docs delay blocking frontend integration
- Database migration done but permissions issues remain
- Deadline around April 20th, only a few days left
- Team concerned about missing the deadline due to blockers
- Plans to push for review by Thursday and accelerate work","The team is currently blocked due to missing API documentation delaying frontend integration. Although the database migration is complete, permissions issues remain unresolved. The deadline is approaching fast on April 20th, and the team is concerned the blockers may cause the project to be at risk. They plan to push for a review by Thursday and accelerate coordination to meet the deadline."
3. (Negative) project name not mentioned at all,"To create a transcript where the project name is not mentioned at all, conforming to the existing style. The transcript will feature at least 8 exchanges among 3 participants with casual engineer talk, ums, and blockers discussed, but no explicit project name reference for the LLM to identify.","[info] Standup time: 03/15/2024 09:30:00

Jamie: Morning all, um, let’s do quick updates. I’m still debugging the latest API issues causing failures.

Alex: Yeah, I saw those errors too. I’m stuck waiting on bug fixes from frontend team, but hoping to get unstuck soon.

Morgan: Frontend team is just updating the UI styles; nothing blocking from my side, but I'm waiting on final test cases before I merge.

Jamie: Okay, so are we still on track for the end of this sprint, around March 25?

Alex: Honestly, it’s a bit shaky since the API problem delays everything downstream.

Morgan: Yeah, I agree. If those fixes don’t come soon, we might have to shift the timeline.

Jamie: Right. Let’s push to get those issues resolved this week, otherwise we risk slipping.

Alex: Definitely. I’ll follow up on the bug status after this meeting.

Morgan: Sounds good. Hopefully, we’ll have more concrete updates by tomorrow.",Not Found,03/25/2024,At Risk,"- API issues causing debugging delays
- Frontend updates ongoing but waiting on test cases
- Timeline around March 25th is uncertain
- Team at risk of slipping sprint target","The team is facing API problems that are blocking progress, causing delays in debugging and downstream work. Frontend updates are in progress but test cases are pending. The target date around March 25 is now at risk if fixes don't come soon. Team members are following up urgently to try to stay on track."
4. (Negative) transcript is unrelated to engineering standup,"To create a negative test case unrelated to engineering standups, the transcript should feature casual conversation among multiple speakers but focus on a non-engineering topic. This aligns with the requirement of at least 8 back-and-forths from at least 3 people, casual style with 'ums' and informal language, but no software engineering content or project updates. This will test the model's ability to detect irrelevant input.","[info] Meeting time: 04/26/2024 09:30:00

Alex: Hey, did anyone catch that new sci-fi movie last weekend? I thought it was um, pretty wild.

Morgan: Yeah, I saw it! The special effects were awesome but the plot was kind of meh, you know?

Jamie: I missed it, actually. Been busy with my garden. Tomatoes are finally starting to grow, which is a relief.

Alex: Oh nice! Gardening sounds relaxing. I’ve been trying to get into cooking more, um, experimenting with some Italian dishes.

Morgan: That reminds me, I’m thinking of trying out a new recipe this weekend. Maybe something spicy.

Jamie: Speaking of which, any of you tried that local spice mix from the farmers market?

Alex: Yeah, it’s amazing. Totally changes the flavor profile. I use it a ton now.

Morgan: Cool, I’ll pick some up then. Anyway, weekend plans aside, hope everyone has a good one!",Not Found,Not Found,Not Found,Not Found,Not Found
