new_input_case,rationale,input,key_points_total,key_points_present_in_summary,ratio_points_in_summary_vs_key_points_total
"1. 3-6 key points, accurately captured in summary","Create a test case with 5 key points that are clearly and fully summarized in the summary text. The key points should deal with a business project update and contain specific details about schedule changes, feature status, and team decisions. The summary should closely mirror these points in clear and concise language as in the example inputs, ensuring accurate coverage of all key points without introducing extraneous information.","<summary_key_points>
- Release candidate build completion delayed by two days.
- Security audit passed with minor issues.
- User acceptance testing to begin next Monday.
- Documentation update postponed until after testing.
- Team plans to conduct a retrospective meeting next Friday.
</summary_key_points>
<summary>
At the recent project update, the release candidate build was reported to be delayed by two days. The security audit was successfully passed, though a few minor issues were noted. User acceptance testing is scheduled to start next Monday. Due to this, the documentation update has been postponed until after testing concludes. Additionally, the team is planning to hold a retrospective meeting next Friday to review progress and lessons learned.
</summary>",5,5.0,1.0
"1. 3-6 key points, accurately captured in summary","To create a test case aligned with the example, I will include 5 key points regarding a product release update. The summary will clearly and accurately reflect all these points in a concise narrative, preserving similar length and formal tone as the example. This fits the '3-6 key points, accurately captured in summary' instruction and ensures the ratio is 1.0.","<summary_key_points>
- Product launch date pushed from July 20th to July 25th.
- Marketing campaign will start a week before launch.
- Beta testing feedback was positive and incorporated.
- Documentation completion delayed by three days.
- Sales forecast revised upwards following recent trends.
</summary_key_points>
<summary>
During the team update, it was confirmed that the product launch has been postponed from July 20th to July 25th. The marketing campaign is scheduled to begin one week prior to the new launch date. Positive feedback from beta testing has been incorporated into the final product. However, the completion of documentation has been delayed by three days. Sales forecasts have been updated upwards based on recent market trends.
</summary>",5,5.0,1.0
"1. 3-6 key points, accurately captured in summary","To create a test case with 3-6 key points all accurately reflected in the summary, I selected a project status update involving schedule changes, feature adjustments, and team decisions. The summary paraphrases each key point clearly, maintaining a professional tone and format consistent with the example. This will test whether the LLM grader correctly identifies when all key points are present.","<summary_key_points>
- Client presentation rescheduled from May 10th to May 12th.
- API integration testing completed successfully.
- User feedback collection phase to start next week.
- Marketing team approved new product tagline.
</summary_key_points>
<summary>
At the weekly project update, it was confirmed that the client presentation has been moved to May 12th instead of the previously planned May 10th. The development team successfully finished API integration testing ahead of schedule. Additionally, the team is preparing to begin the user feedback collection phase starting next week. Meanwhile, marketing has given the green light to the new product tagline, moving the campaign forward.
</summary>",4,4.0,1.0
2. Summary misses some or all key points,"To create a difficult case where the summary misses some key points, I selected a project update context similar to the example. The summary omits or only partially addresses several of the listed key points, making it challenging to identify all relevant items. This mirrors the example's length and tone and uses the same XML tag format.","<summary_key_points>
- Sales for Q1 fell short by 15% compared to projections.
- Marketing campaign launch postponed to next quarter.
- New product certification delayed due to supplier issues.
- Customer support team expanded by three members.
- Revenue target for the year revised downward.
</summary_key_points>
<summary>
The quarterly update revealed that sales did not meet expectations. The marketing campaign has been delayed, pushing the launch into the next quarter. Several operational adjustments are under review to improve performance moving forward.
</summary>",5,2.0,0.4
2. Summary misses some or all key points,"Create a summary that leaves out or only partially addresses some key points to test if the grader accurately detects missing information. The input should follow the length, tone, and xml formatting of the example, and the summary should still convey some information but omit or only vaguely cover certain key points, resulting in a partial match.","<summary_key_points>
- Quarterly earnings report indicates a 10% revenue increase.
- New marketing strategy to launch in Q3.
- Customer satisfaction scores improved by 5%.
- Production delays due to supply chain issues.
- Hiring freeze lifted starting next month.
</summary_key_points>
<summary>
In the recent update, the company reported higher revenues this quarter, posting a 10% increase compared to last quarter. The customer satisfaction rating showed some improvement. However, there were delays in production attributed to ongoing supply chain challenges. No mention was made of marketing plans or changes in staffing policies.
</summary>",5,3.5,0.7
2. Summary misses some or all key points,"To create a challenging case where the summary omits several key points, I will select a set of distinct and relevant project updates as key points, then write a summary that only touches on a few of them, omitting others. The format and style will mirror the example input, with bullet points for key points and a coherent, professional summary narrative that misses some details. This tests the model's ability to detect partial coverage and quantify it correctly.","<summary_key_points>
- Security audit results revealed critical vulnerabilities.
- QA team identified multiple regression bugs.
- Customer feedback indicates UI confusion.
- Release date postponed from 6/1/2024 to 6/15/2024.
- Marketing campaign launch delayed pending design approval.
</summary_key_points>
<summary>
The latest project update highlighted that the security audit brought up some concerns, but the primary focus was on fixing bugs found by the QA team. The team also noted a couple of issues raised by customers regarding the user interface. Due to these findings, the release date has been pushed back to mid-June to allow time for necessary corrections.
</summary>",5,3.0,0.6
"3. 0 items in summary_key_points, but summary present","To create a difficult test case where there are no key points given, but a summary is nonetheless present, the new input will have an empty summary_key_points section and a meaningful summary text. This tests the system's ability to handle cases with zero total key points and still meaningful summaries, expecting it to handle division-by-zero and ratio calculation correctly.","<summary_key_points>
</summary_key_points>
<summary>
The team held a meeting to discuss potential risks for the upcoming release. Although no immediate issues were raised, they agreed to monitor the progress closely and prepare contingency plans as necessary.
</summary>",0,0.0,0.0
"3. 0 items in summary_key_points, but summary present","To create a sample with zero key points but with a non-empty summary, the summary will describe a project update without listing any specific bullet points in the summary_key_points section. This tests the grader's handling of empty key point lists where no matching is possible, and the ratio should be zero as per instructions.","<summary_key_points>
</summary_key_points>
<summary>
The team provided an update on the current quarter's progress. Multiple departments are coordinating on the new system rollout, with testing phases planned for next month. Stakeholders expressed general satisfaction with the pace of development and encouraged transparent reporting moving forward.
</summary>",0,0.0,0.0
"3. 0 items in summary_key_points, but summary present","To create a sample with zero key points and a non-empty summary, we provide an empty <summary_key_points> section and a summary describing a project update that includes various details. This will test the system's handling of cases with no key points, ensuring it correctly outputs a zero total and ratio while still processing the summary.","<summary_key_points>
</summary_key_points>
<summary>
The project team met to discuss recent developments. There was a review of resource allocation and budgeting concerns. Potential risks were identified, and plans to mitigate them were proposed. The next milestone meeting is scheduled for next week.
</summary>",0,0.0,0.0
"4. 3-6 items in summary_key_points, with ambiguous or borderline inclusion in the summary","Create a test case with 5 key points where some points are clearly mentioned in the summary, while others are only implied or partially described, making it ambiguous whether they are fully included. This will test the grader's ability to assign partial credit appropriately.","<summary_key_points>
- Customer feedback collection delayed by two weeks.
- New UX design launch planned for Q3.
- Beta testing postponed until after new API release.
- Marketing campaign start date changed to August 1st.
- Support team training scheduled for next month.
</summary_key_points>
<summary>
The project team reviewed their current schedule and noted that the new UX design is targeted for release in the third quarter. Although beta testing had some adjustments, it is now set to follow the upcoming API update. Marketing efforts are also shifting, with a planned start at the beginning of August. Training sessions for the support team are on the agenda but details are still being finalized. Customer feedback collection timelines may be affected but no firm delays were confirmed.
</summary>",5,3.5,0.7
